inventory_id,product_id,quantity,expiration_date,last_restocked
I01,P01,3,2025-07-15,2025-05-28
I02,P02,38,2025-07-29,2025-06-18
I03,P03,60,2025-06-27,2025-05-27
I04,P04,60,2025-08-19,2025-06-08
I05,P05,84,2026-01-30,2025-06-10
I06,P06,74,2025-10-19,2025-06-01
I07,P07,67,2025-11-12,2025-06-02
I08,P08,88,2025-12-27,2025-05-30
I09,P09,130,2025-07-05,2025-06-08
I10,P10,110,2025-08-08,2025-05-22
I11,P11,46,2025-08-02,2025-06-13
I12,P12,7,2025-07-15,2025-05-28
I13,P13,141,2025-07-13,2025-06-18
I14,P14,29,2025-08-02,2025-05-26
I15,P15,76,2025-07-07,2025-05-24
I16,P16,105,2025-06-25,2025-05-26
I17,P17,83,2026-04-02,2025-06-16
I18,P18,77,2025-10-01,2025-05-24
I19,P19,105,2026-04-12,2025-06-17
I20,P20,5,2026-04-05,2025-05-27
I21,P21,32,2025-09-30,2025-06-14
I22,P22,131,2026-03-31,2025-06-13
I23,P23,132,2026-06-20,2025-06-05
I24,P24,65,2025-12-26,2025-05-23
I25,P25,75,2025-12-26,2025-05-22
I26,P26,85,2026-02-17,2025-06-17
I27,P27,92,2025-10-08,2025-06-03
I28,P28,138,2025-12-30,2025-06-06
I29,P29,12,2026-05-14,2025-06-19
I30,P30,137,2026-01-05,2025-06-07
I31,P31,140,2026-01-10,2025-06-16
I32,P32,25,2026-02-08,2025-06-08
I33,P33,110,2025-11-30,2025-06-17
I34,P34,90,2026-04-23,2025-05-30
I35,P35,77,2026-04-27,2025-05-30
I36,P36,72,2025-10-05,2025-06-18
I37,P37,62,2026-05-14,2025-05-28
I38,P38,2,2026-06-20,2025-05-28
I39,P39,127,2025-10-03,2025-06-07
I40,P40,143,2025-12-15,2025-06-02
