vendor_id,vendor_name,contact_info
V01,US Foods #42,ethomas@example.com
V02,Kroger Supply #37,jenniferschneider@example.com
V03,US Foods #44,morrismary@example.org
V04,Kroger Supply #33,qunderwood@example.org
V05,Gordon Food Service #38,joshua93@example.net
V06,Costco Wholesale #47,johnsondavid@example.com
V07,Gordon Food Service #41,usherman@example.net
V08,Walmart Distribution #37,derekmendez@example.org
V09,Whole Foods Market #39,daniel13@example.org
V10,Local Organic Co. #36,riveracurtis@example.net
V11,Whole Foods Market #4,tiffany14@example.org
V12,Costco Wholesale #2,isawyer@example.com
V13,Whole Foods Market #42,jacobbrooks@example.org
V14,Walmart Distribution #19,whitneysmith@example.com
V15,Gordon Food Service #36,jstewart@example.net
V16,US Foods #30,donaldsontara@example.com
V17,Amazon Fresh #33,milleramanda@example.net
V18,US Foods #31,regina14@example.com
V19,US Foods #4,johnsonjanice@example.org
V20,Walmart Distribution #19,amylopez@example.com
